N,P,K,temperature,humidity,ph,rainfall,label
31,36,146,39.16,44.84,7.15,57.64,cotton
6,53,92,24.03,63.29,6.57,145.79,maize
121,143,21,27.95,46.06,5.58,93.57,cotton
44,19,35,26.25,67.38,6.6,143.37,soybean
37,86,134,25.8,81.16,6.9,257.38,rice
45,92,91,19.58,65.38,5.78,109.46,maize
95,77,62,28.57,42.99,6.23,91.47,cotton
8,135,54,32.06,63.26,6.54,60.28,groundnut
54,70,161,38.47,51.7,7.84,92.41,cotton
86,95,89,21.73,45.73,7.16,85.28,wheat
16,105,89,35.25,55.14,6.44,71.05,cotton
42,97,166,30.8,41.32,6.69,88.82,millet
20,131,155,23.26,58.2,5.72,78.0,maize
129,130,147,20.79,34.56,6.24,44.6,barley
129,16,187,28.13,78.8,6.83,105.84,soybean
132,125,66,20.37,46.49,5.28,74.55,millet
133,93,8,24.47,56.89,6.2,106.7,maize
110,15,164,33.49,73.46,6.67,164.59,sugarcane
0,83,38,22.37,68.2,6.59,87.16,peas
72,141,157,27.68,44.39,7.03,91.99,cotton
47,20,17,36.73,40.04,7.8,81.09,cotton
1,37,135,20.9,65.98,7.09,76.1,maize
60,24,38,28.64,38.65,6.24,69.63,millet
58,145,117,29.45,53.7,7.13,112.66,groundnut
26,101,171,14.39,61.14,6.75,91.79,peas
106,123,115,26.11,58.11,6.89,89.84,groundnut
15,119,49,26.6,68.8,7.05,93.12,maize
102,109,138,31.58,51.6,6.38,80.11,groundnut
12,7,88,29.23,83.99,5.55,254.29,rice
103,125,188,30.8,59.0,5.57,77.54,cotton
130,62,164,28.21,73.74,7.09,118.8,soybean
20,96,161,20.24,69.91,6.41,81.05,maize
79,46,19,21.59,63.67,7.11,139.61,sugarcane
38,20,105,29.83,60.52,7.42,145.99,soybean
126,72,83,32.01,71.59,7.11,156.63,sugarcane
24,60,162,20.52,62.16,6.38,115.84,peas
60,137,43,22.54,33.51,5.03,59.06,millet
14,128,63,19.88,66.1,6.73,145.34,maize
99,133,74,11.21,53.9,6.16,82.87,wheat
120,111,185,29.88,33.86,6.13,79.93,millet
42,28,118,22.11,30.34,6.76,54.57,barley
66,30,16,39.92,53.68,7.52,84.45,cotton
68,128,100,21.74,77.02,5.89,173.0,rice
108,62,199,25.23,60.4,6.59,70.18,groundnut
52,110,51,26.58,37.98,5.9,41.02,millet
71,95,84,34.89,59.27,6.68,54.32,groundnut
130,62,204,20.48,51.95,7.25,106.04,peas
80,105,123,22.2,70.42,6.11,114.58,soybean
109,112,140,23.39,68.95,7.08,109.61,soybean
137,141,55,24.48,50.37,6.16,112.42,wheat
75,109,89,34.53,58.02,6.28,95.48,groundnut
34,89,142,26.16,52.47,6.6,62.96,groundnut
129,113,49,17.17,43.43,6.31,94.14,barley
15,63,205,25.86,74.26,6.96,89.93,soybean
24,71,65,19.87,58.51,7.05,118.45,peas
28,140,130,28.41,71.44,6.67,91.32,soybean
73,72,100,29.21,80.19,6.14,150.41,sugarcane
14,39,150,25.33,76.33,7.36,104.13,soybean
77,82,149,27.38,58.13,6.56,64.39,groundnut
34,114,73,26.01,64.6,7.33,75.58,groundnut
77,8,90,16.82,57.95,6.64,64.52,peas
71,94,110,15.56,42.18,6.29,67.04,barley
79,129,98,23.55,47.77,6.52,104.9,wheat
26,94,142,11.01,55.49,7.15,105.74,peas
32,89,30,36.68,52.98,7.39,97.22,cotton
116,44,45,39.9,48.09,7.01,97.03,cotton
120,132,76,10.73,46.56,6.46,73.78,barley
38,62,62,13.21,54.54,6.12,101.82,peas
39,109,162,28.45,38.49,5.7,51.08,millet
21,53,163,19.93,69.12,6.6,60.18,peas
22,63,56,39.46,55.54,7.79,67.93,cotton
90,98,184,28.37,67.7,5.69,117.47,maize
56,114,72,21.34,59.44,7.47,111.37,peas
84,124,158,15.35,36.51,6.99,74.25,barley
87,70,123,29.26,71.23,6.95,133.85,sugarcane
15,11,89,17.7,47.72,6.49,119.54,wheat
24,74,132,18.4,53.57,5.64,116.04,maize
57,81,193,30.89,49.24,7.11,75.13,cotton
21,18,48,10.02,52.03,6.18,86.05,peas
129,61,190,36.89,55.39,5.98,80.04,cotton
15,18,104,31.62,72.79,6.4,106.73,sugarcane
40,57,50,27.98,56.23,6.16,137.01,maize
90,142,84,29.93,46.93,7.94,81.67,cotton
13,141,17,14.27,46.63,7.38,114.36,wheat
103,37,173,34.44,82.45,6.12,175.68,sugarcane
54,38,179,29.02,54.05,7.84,63.72,cotton
90,24,124,25.66,58.49,7.66,69.51,cotton
101,40,200,27.46,47.46,5.65,41.75,millet
22,84,38,39.2,54.51,6.25,51.34,cotton
53,85,74,29.37,42.27,5.76,45.58,millet
56,114,186,30.26,65.15,6.1,52.56,groundnut
131,48,54,24.2,63.16,6.41,119.94,maize
36,6,24,31.14,45.24,5.59,56.88,cotton
32,51,130,19.32,49.5,6.78,77.3,barley
57,79,18,21.66,77.88,6.04,88.96,soybean
104,137,111,18.19,36.88,7.24,44.86,barley
126,40,127,30.59,66.52,7.24,55.74,groundnut
67,80,90,33.24,64.47,7.08,52.23,groundnut
35,130,184,26.19,77.7,6.13,106.19,sugarcane
114,116,113,12.68,54.0,6.01,98.86,peas
0,39,73,15.87,38.47,6.04,89.37,barley
10,92,176,29.03,38.35,5.46,35.35,millet
118,93,106,38.8,41.47,7.0,82.24,cotton
10,26,196,32.78,76.1,6.09,117.2,sugarcane
122,95,51,31.87,60.17,6.84,62.45,groundnut
3,99,37,14.57,48.54,6.62,100.79,wheat
23,22,40,17.46,57.94,6.78,108.76,peas
34,21,85,14.92,50.5,7.26,109.04,wheat
44,13,31,22.7,69.11,6.15,95.23,soybean
30,128,46,20.82,65.69,6.54,148.0,soybean
85,95,18,21.18,68.42,5.94,107.71,maize
106,115,19,24.1,38.97,6.19,82.75,millet
66,89,196,21.55,59.35,7.41,110.07,wheat
29,5,69,27.24,48.58,5.11,50.41,millet
27,82,55,32.48,48.97,5.16,37.87,millet
19,34,6,17.99,39.44,6.45,45.66,barley
134,55,87,25.99,62.75,6.71,157.39,sugarcane
72,69,56,25.7,72.6,6.79,135.72,soybean
48,82,63,33.03,46.8,6.58,63.1,cotton
113,45,132,27.16,43.23,5.42,54.22,millet
85,144,50,22.51,53.49,7.36,97.67,peas
53,67,14,28.91,61.01,6.52,131.25,soybean
10,54,167,25.18,57.09,6.32,106.66,groundnut
4,103,46,19.28,64.29,6.08,149.64,maize
55,111,182,30.84,74.84,6.68,160.28,rice
113,47,41,25.76,61.54,6.51,143.68,soybean
122,144,122,23.29,62.93,7.27,98.23,peas
132,28,140,14.98,46.64,7.49,100.45,wheat
126,41,73,24.47,62.1,6.1,138.9,maize
70,92,59,29.66,74.58,6.99,171.81,rice
37,95,59,32.65,69.24,7.5,90.14,groundnut
22,37,102,29.9,68.24,7.28,99.1,soybean
59,96,37,34.3,42.32,7.88,79.46,cotton
97,82,128,38.74,51.77,7.39,86.24,cotton
27,76,144,39.2,57.49,7.61,78.98,cotton
51,9,45,17.36,49.76,6.8,86.47,wheat
1,77,102,14.16,37.04,6.52,55.02,barley
110,24,99,25.65,66.47,7.45,132.84,maize
2,87,65,25.67,77.22,6.82,232.26,rice
95,117,42,29.49,71.81,6.47,106.08,soybean
27,145,139,27.56,50.62,6.39,141.53,maize
36,34,174,31.11,54.46,7.09,55.98,cotton
36,49,156,20.25,44.3,6.69,47.4,barley
39,39,203,21.77,77.28,7.1,116.58,soybean
60,129,184,31.44,70.88,5.61,270.84,rice
137,101,144,25.51,57.66,7.05,83.78,groundnut
131,55,83,21.09,51.28,6.11,119.18,peas
10,29,199,21.66,53.01,7.31,79.03,peas
57,120,172,33.85,57.38,6.7,79.21,groundnut
92,104,183,25.66,68.53,6.74,95.33,groundnut
17,135,38,26.04,46.18,7.6,77.95,cotton
101,99,131,13.42,52.8,7.45,56.59,wheat
36,79,90,21.09,58.2,6.95,65.65,wheat
